trainable params: 114,688 || all params: 26,993,152 || trainable%: 0.4248781320536409
Epoch:[0/10](7000/123401) loss:2.516 lr:0.0001000 epoch_Time:109.0min:
Epoch:[0/10](7100/123401) loss:2.324 lr:0.0001000 epoch_Time:109.0min:
Epoch:[0/10](7200/123401) loss:2.652 lr:0.0001000 epoch_Time:109.0min:
Epoch:[0/10](7300/123401) loss:2.433 lr:0.0001000 epoch_Time:109.0min:
Epoch:[0/10](7400/123401) loss:2.568 lr:0.0001000 epoch_Time:109.0min:
Epoch:[0/10](7500/123401) loss:2.327 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](7600/123401) loss:2.358 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](7700/123401) loss:2.446 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](7800/123401) loss:2.425 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](7900/123401) loss:2.504 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](8000/123401) loss:2.559 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](8100/123401) loss:2.627 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](8200/123401) loss:2.603 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](8300/123401) loss:2.438 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](8400/123401) loss:2.373 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](8500/123401) loss:2.662 lr:0.0001000 epoch_Time:108.0min:
Epoch:[0/10](8600/123401) loss:2.640 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](8700/123401) loss:2.737 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](8800/123401) loss:2.635 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](8900/123401) loss:2.576 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](9000/123401) loss:2.484 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](9100/123401) loss:2.324 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](9200/123401) loss:2.744 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](9300/123401) loss:2.473 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](9400/123401) loss:2.779 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](9500/123401) loss:2.281 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](9600/123401) loss:2.488 lr:0.0001000 epoch_Time:107.0min:
Epoch:[0/10](9700/123401) loss:2.775 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](9800/123401) loss:2.614 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](9900/123401) loss:2.506 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](10000/123401) loss:2.551 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](10100/123401) loss:2.549 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](10200/123401) loss:2.393 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](10300/123401) loss:2.339 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](10400/123401) loss:2.500 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](10500/123401) loss:2.612 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](10600/123401) loss:2.516 lr:0.0001000 epoch_Time:106.0min:
Epoch:[0/10](10700/123401) loss:2.320 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](10800/123401) loss:2.412 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](10900/123401) loss:2.460 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](11000/123401) loss:2.559 lr:0.0001000 epoch_Time:105.0min:
